Pre-Utterance Context,Student Utterance,Post-Utterance Context,Offering mathematical help,Successful Uptake,Asking for More Information
"[student] Yes.
[teacher] All right.  Let’s give you a round of applause.  Excellent [inaudible].  [Applause].  Okay?  All right?  Why don’t you come on up.  Share yours.  You got one minute.
[student] [Inaudible].
[teacher] He’s going to show his tomorrow.  [Beeping].","This is my cover, and my table of contents.  My point line. Line segment.  [Inaudible].  My plane.  Acute angle.  My obtuse angle.  And right angle.  My quadrilaterals.  Three figures with symmetry.  And two figures without symmetry. The circles [inaudible] diameter, and radius, and circumference.  [Inaudible].  [Inaudible].","[teacher] All right.  Excellent.  Excellent.  If you’ll pass the microphone.  Okay.
[student] This is my table of contents.  This is my point line, line segment, ray and plane.  This is an acute angle, a right angle, and obtuse angle.  Square, rectangle, and rhombus. Parallelogram.  Trapezoid.  Symmetrical figures.  These are non-symmetrical figures.  This is the radius.  Diameter. Core.  Circumference.  This is a flip, slide, and turn. And this is my glossary.
[teacher] Excellent.  [Applause].
[student] This is my geometry [inaudible].  These are my [inaudible]. This is my quadrilateral.  My symmetry.  This is ones that like, can’t come together.  [Inaudible].  This is my circumference.  This is my rotation.  This is my [inaudible] and [inaudible].  And this is my glossary. [Applause].",0,0,0
"[student] Yes.  [Inaudible].
[teacher] Who's next?  Student A, do you have it?  Student G, do you have it?
[student] One hundred and twenty-five hundredths is less than thirty-five tenths.
[teacher] Say this again.",One hundred and twenty-five thousandths is less than thirty- five—,"[teacher] Hundredths.  Okay.  One hundred twenty-five thousandths, which is one eighth, is less than thirty-five hundredths.  Now when you look at this, you see 125, and you see 35, and automatically your mind things, well, I know 125 is greater than 35.  But it's not 125.  It's one hundred twenty-five thousandths is less than thirty-five thousandths, because remember, you have to start comparing the tenths place. The 1 is less than 3.  Now how did we get to this point? One eighth, guys, and seven twentieths – we cannot use common denominators here, can we?  But remember, I said you can use division.  1 divided by 8.  7 divided by 20.  Then of course you would have to use decimals.  Questions? Student S's team gets the point, and it looks like this team over here, Student E's team, you have more points, so I need you all to get ready to transition, and everybody on this team, come back and I'll get you a piece of candy. Let me dump this over here on the table.  You can choose one piece.
[teacher] Okay boys and girls, I’m gonna be using the overhead today.  I So I want you to look right now at the objectives up on the board for math.  Would someone please read the first objective right here with the bullet beside it?  Would someone read it for me please?  Student C?
[student] [Inaudible].
[teacher] It’s what?",0,0,0
"[student] You have to, if it say 8 you put it on the I think that’s the opposite side. The 6 go on the bottom and the middle.
[teacher] Opposite, why couldn’t—how do I know that this side is 6? Oh how do I know that this side is 6?
[student] Cause this one the 6 is on top.
[teacher] I do see a six on top but what else do I know about this thing Student J?",Because you put a long side and it’s a long side.,"[teacher] What is this thing Student A? No what is this thing Student D?
[student] [Inaudible].
[teacher] No sir it’s not. I know it’s not a square a square has four equal—so I would have to have a 6, 6, 6, 6, for it to be a square.
[multiple students] A square.",1,0,0
"[student] We didn't need [inaudible] minutes.
[teacher] Okay.  Let me hear from Student, sitting way back there in the back.  Student?
[student] Negative one.
[teacher] She says negative one is the answer.  Now, what mistake did Tanya make?  Because those are the answers I wanted.  We're analyzing this to see where this student went wrong and what the answer should be.  You found out what the answer should be.  There's another question.  How did you discover the answer?  So where'd she go wrong?  Where did she go wrong, Student?","She thought she could just add because the negative is higher. She thought she could just add the positive with the negative and equal another negative but – yeah, equal another positive but she couldn't, but she had to – how could I say it?","[teacher] Okay, you're off to a good start.  I'm gonna come back to you. Where'd she go wrong, Student?
[student] She went wrong because I think she didn't notice that the seven wasn't a negative, so she just added negative eight plus negative seven to get negative 15, but the seven is actually positive, so it should have been negative one.
[teacher] Okay, how many people agree with Student's explanation of where Tanya went wrong?
[student] [Inaudible]",0,1,0
"[student] Yeah.
[teacher] Okay.  Now, let’s go back.  We’ve got a group of square numbers, what other way could we classify the numbers, Student A?
[student] They are all prime.
[teacher] Okay, and tell me what a prime number is.",It only has a factor of one.,"[student] 2 is not prime.
[student] Yeah, it is.
[teacher] Okay, pick a number and factor it for me.  Pick one.
[student] [Inaudible] only had 1 and itself as a factor.",0,0,0
"[student] Do I do it like this?
[teacher] Wait a second.
[student] But I’m not sure I can, like, subtract.
[teacher] [Inaudible] put a dozen on each plate, to sell for $2.00 a plate.  How many full plates?  Okay, so first you have to add, right?  So you added the two numbers, okay?  Then you divide them by 12, which is correct.  So you’re right.  Now you’re doing 12 into 105.","So it goes in eight times, right?","[student] Oh, yeah.
[student] Like, is Harvard watching us, like, right now?
[teacher] Mm-hmm.
[student] Like, right now, seeing us [inaudible].",0,0,1
"[student] Agree with her.
[teacher] Okay, what do you agree to?
[student] Because two-fourth -
[teacher] Louder.","Because one and-a-half is the smaller, and eight nine equal nothing, but the bigger is eight nine.","[teacher] Okay, why is eight nine – do you understand, or are you having problem?
[student] I have a problem
[teacher] You’re having problems.  What’s giving you problem?
[student] That.",0,1,0
"[teacher] I’m sorry?
[student] [Inaudible].
[teacher] [Inaudible] geometry vocabulary.  It’s the same thing you did when you wrote your geometry vocabulary, when you wrote point.  So the word we’re going to do today is called line. If you already wrote that down it’s good.  Just line, L-I- N-E.  It’s a straight angle that never ends.  Did you know that a line is an angle?
[teacher] It’s 180 degrees.  A straight angle that never ends is called a line.  The way we draw it is like this.  This is the way we draw it.  Have you got this?  You with me?  The symbol for it looks like this.  Actually [inaudible].  The way we write it is to draw that symbol on top and then you use the letters A and B or whatever letters you have on your point, whatever points you’re using. The way we say it is line A-B.  We’re going to do some more practice on this tomorrow, but I want you to get it down.  I’m going to tell you one more thing.  You have to have a point on a line and then I’m going to tell you something else.  Raise your hand if you’re [Inaudible].  Please write nice and neat so when you get home to do your homework you know how to do it. [Inaudible].  Everybody finished?  Can I erase it?  The next thing I’m going to tell you about is called a parallel line. Parallel line.  You can read your notebook. Parallel lines are two lines – to or more lines that will never meet. They never cross, they never intersect, they never come together.  I see this line of people and this line of people and they’re parallel.  If we turn this way and you three all turn that way and we just start walking [inaudible] and keep going, you will never, ever run into each other, right? If Student S starts walking this way and Student E starts walking that way, they’re eventually gonna crash, right because they’re not sitting parallel from one another.  See the difference?  That’s the definition.  The way we draw it is like this.  It can be that way, it can be horizontally or it can be parallel.  It can be horizontal or vertical.",Do we have to draw the arrows on it?,"[teacher] Yes. The symbol is this.  When we write it – this is so cute, I love doing this.  This is A-B and it’s parallel to C-D. The way we say it is line A-B is parallel to line C-D.  So what I want you to take away from the lesson today is point, parallel line and what else?  Line.  Everybody freeze.  So today I want you to know by tomorrow when you come in, your homework, make sure you read over those three things we learned about today.  Who can tell me what a point is?
[student] An exact location on a –it’s an exact location.
[teacher] An exact location on a line.  Go ahead, Student R?
[student] [Inaudible].",0,0,1
"[student] Angles.
[teacher] Everything is an angle.  What is the parameter of a shape? When I say parameter, what does that mean?
[student] When you add it all—
[teacher] I'm not asking you how to find it.  I'm asking you what is it? What is parameter?",If you had – it's like if you had 8 and 8 on top and 7—,"[teacher] You're still telling me how to find it.  Can you explain to me what is parameter?  Now what is parameter?
[student] Of what?
[teacher] Of any polygon.  What is the parameter of a polygon?
[student] You add all the sides.",0,0,0
"[student] Are we allowed to get help?
[teacher] You will get the points back because I threw a lot of stuff at you quickly to see who has it and who has grasped the concept.  Like I said, you can do one problem.  You should be able to do any problem I give you, right?  Some of you have done very, very well and you were able to keep up with the pace and get it.  Some of you have totally lost you. There’s three or four of you in here I have lost. You need to fix it and bring it back.  The only day I am accepting it is on the 11th.  If you don’t have it on the 11th—you, the 12th because you won’t be here the 11th.  I already know that.  If you're not here the 11th, you need to bring it to me the day you return.  If you don’t have it that day, the grade on it is the grade that stands in your grade book. It is your choice.
[student] So there was no hundreds, right?
[teacher] And then you have the two bonus questions that could put you up over 100.  So those of mine that got 100 can go back and fix and make sure you have the two bonus.  Fix the two you got wrong, then you can have more than 100.  It is your choice.  So in your agenda write down “Fix math quiz on fractions, decimals, and algebra is due on the 11th.” You can go on IXL and do some practice on the problems you missed. You can take your big math book home and use it as a resource to help you.  You can take your math journal home because in your math journal you have a sample of every type of problem that was on that quiz.  You can use your parents or an older brother or sister to help you.  To ask for help. And what I told a couple of students, because I had a couple come see me this morning, was if you missed it, I have walked you through it now, write yourself another problem or ask someone to write you another problem to see if you really understand it and you get it.  You're gonna be off a week. We only have two weeks and then you take the CRCT, okay? So we gotta make sure we’re ready.  Okay?  Those will be in your Friday folder today going home.  I'm gonna give them to your teachers once you go to specials.  Student W?","Did you ever, like, grade them, like—do you ever grade us like 95 and then you get, like, all 100 and then you get all the bonus, would it make it like 104 or something.  Can you go higher than like just to 100?","[student] What was the majority of the grades?
[teacher] There was a lot of everything.  The class was pretty well divided.
[student] Who got 100?
[teacher] You and Student A.  Any questions?  Do you understand that?  So if you want it back, it’s your responsibility where you have nine days at home.  If you don’t care, I don’t care. It’s your choice.  Some of you made careless mistakes.  And some of you didn’t get finished but only three or four people didn’t get finished.  The majority of you got finished.  So that’s the thing.  If you paid attention in class, you’ve been doing the practice, you had enough time to have it done.  You either knew it or you didn’t.  Right? You can’t sit there and look at it.  It’s not gonna give you the answer. All right, you are going to work in the group that you are sitting with.  Get your desks completely cleaned off.  You can use—you're gonna need—you're gonna get two sheets of paper so that should be enough paper for you to work with.  You need your desk for your space.  So stack your math materials on your floor.  I got four, five.  Student W, turn around and work with those three.  Student J, do you want to go back there?",0,0,1
