NCTETID,reasoning_freq,total_utterances
11001,0.3333333333333333,6
11003,0.3333333333333333,9
11004,0.42857142857142855,21
11005,0.36363636363636365,11
11006,0.2,5
11007,0.0,11
11009,0.2,5
11011,0.14285714285714285,7
11012,0.2857142857142857,7
11014,0.42857142857142855,14
11015,0.16666666666666666,6
11016,0.5,6
11018,0.0,6
11019,0.14285714285714285,7
11020,0.15789473684210525,19
11022,0.3333333333333333,9
11023,0.0,13
11024,0.25,20
11025,0.45454545454545453,11
11027,0.3333333333333333,6
11029,0.2222222222222222,9
11030,0.0,6
11031,0.36363636363636365,11
11032,0.5294117647058824,17
11033,0.2,15
11034,0.0,6
11037,0.1111111111111111,9
11038,0.0,7
11040,0.4444444444444444,18
11042,0.2,5
11043,0.3333333333333333,18
11045,0.2857142857142857,7
11046,0.5,12
11047,0.45454545454545453,11
11048,0.3157894736842105,19
11049,0.14285714285714285,7
11050,0.2222222222222222,18
11051,0.2,10
11053,0.3076923076923077,13
11054,0.3076923076923077,13
11055,0.14285714285714285,14
11056,0.0,8
11057,0.25,8
11058,0.2857142857142857,21
11059,0.15384615384615385,13
11060,0.5,16
11061,0.26666666666666666,15
11062,0.0,10
11063,0.0,6
11066,0.2,10
11067,0.0,8
11070,0.6153846153846154,13
11073,0.4,10
11075,0.21428571428571427,14
11076,0.07692307692307693,13
12001,0.0,8
12002,0.0,8
12003,0.0,5
12007,0.0,6
12008,0.0,11
12013,0.4444444444444444,9
12014,0.125,8
12015,0.2,10
12016,0.3076923076923077,13
12017,0.07692307692307693,13
12019,0.3333333333333333,12
12020,0.0,6
12021,0.0,5
12022,0.0,5
12024,0.3,10
12026,0.2857142857142857,14
12027,0.4,10
12030,0.5555555555555556,9
12031,0.0,5
12032,0.18181818181818182,11
12033,0.125,8
12034,0.0,5
12036,0.2727272727272727,11
12040,0.4,10
12041,0.14285714285714285,7
12042,0.3076923076923077,13
12043,0.0,6
12044,0.0,11
12046,0.13333333333333333,15
12054,0.2,5
12056,0.2857142857142857,7
12059,0.2,5
13002,0.3333333333333333,6
13004,0.6,5
13009,0.0,5
13012,0.0,5
13015,0.3076923076923077,13
13018,0.42857142857142855,7
13019,0.0,7
13022,0.14285714285714285,7
13027,0.125,8
13030,0.0,8
13040,0.0,6
13043,0.125,8
13053,0.0,6
13054,0.4,5
13062,0.18181818181818182,11
13071,0.18181818181818182,11
13078,0.5,6
13081,0.0,6
13092,0.16666666666666666,6
13095,0.125,8
13096,0.16666666666666666,6
13097,0.3,10
13098,0.1111111111111111,9
13102,0.125,8
14003,0.25,12
14005,0.125,8
14008,0.125,8
14009,0.25,8
14010,0.16666666666666666,6
14011,0.2,15
14012,0.07692307692307693,13
14013,0.3333333333333333,12
14015,0.0,5
14016,0.3333333333333333,12
14017,0.0,6
14020,0.1,10
14021,0.45454545454545453,11
14022,0.4,5
14025,0.2,10
14026,0.0,7
14028,0.0,7
14029,0.3125,16
14030,0.4444444444444444,9
14031,0.14285714285714285,7
14033,0.0,9
14034,0.16666666666666666,6
14035,0.375,24
14037,0.5,8
14040,0.0,5
14042,0.25,8
14043,0.3,10
14044,0.2222222222222222,9
14046,0.3333333333333333,6
14048,0.23076923076923078,13
14050,0.25,8
14053,0.2,10
14054,0.14285714285714285,21
14056,0.3333333333333333,12
14059,0.09090909090909091,11
14060,0.0,8
14061,0.25,8
14062,0.0,10
14063,0.0,12
14067,0.21428571428571427,14
14070,0.5,6
14071,0.4,5
14074,0.07692307692307693,13
14075,0.4,5
14076,0.0,5
14078,0.18181818181818182,11
14079,0.2,5
14080,0.0,7
14081,0.0,6
14083,0.2,5
14084,0.0,5
14086,0.3333333333333333,6
14087,0.0,9
14088,0.0,10
14089,0.16666666666666666,6
14092,0.25,8
14093,0.06666666666666667,15
14094,0.18181818181818182,11
14095,0.1111111111111111,9
14096,0.14285714285714285,7
14098,0.125,16
14102,0.0,5
14104,0.4,5
14105,0.0,5
14106,0.125,8
14114,0.25,12
14115,0.1111111111111111,9
14116,0.1111111111111111,9
14118,0.0,12
14119,0.1,10
14120,0.2,10
14121,0.1,10
14122,0.16666666666666666,6
14123,0.0,6
14136,0.16666666666666666,6
